"date","amount","category","currency","company","source"
"1984-12-27","0.103772","Close Price","USD","AAPL.US","stooq.com"
"1984-12-28","0.107367","Close Price","USD","AAPL.US","stooq.com"
"1984-12-31","0.10887","Close Price","USD","AAPL.US","stooq.com"
"1985-01-02","0.104363","Close Price","USD","AAPL.US","stooq.com"
"1985-01-03","0.106168","Close Price","USD","AAPL.US","stooq.com"
"1985-01-04","0.106168","Close Price","USD","AAPL.US","stooq.com"
"1985-01-07","0.105571","Close Price","USD","AAPL.US","stooq.com"
"1985-01-08","0.104656","Close Price","USD","AAPL.US","stooq.com"
"1985-01-09","0.107367","Close Price","USD","AAPL.US","stooq.com"
"1985-01-10","0.112161","Close Price","USD","AAPL.US","stooq.com"
"1985-01-11","0.111267","Close Price","USD","AAPL.US","stooq.com"
"1985-01-14","0.114253","Close Price","USD","AAPL.US","stooq.com"
"1985-01-15","0.112161","Close Price","USD","AAPL.US","stooq.com"
"1985-01-16","0.113095","Close Price","USD","AAPL.US","stooq.com"
"1985-01-17","0.104962","Close Price","USD","AAPL.US","stooq.com"
"1985-01-18","0.107073","Close Price","USD","AAPL.US","stooq.com"
"1985-01-21","0.109471","Close Price","USD","AAPL.US","stooq.com"
"1985-01-22","0.112464","Close Price","USD","AAPL.US","stooq.com"
"1985-01-23","0.11066","Close Price","USD","AAPL.US","stooq.com"
"1985-01-24","0.108567","Close Price","USD","AAPL.US","stooq.com"
"1985-01-25","0.11066","Close Price","USD","AAPL.US","stooq.com"
"1985-01-28","0.113095","Close Price","USD","AAPL.US","stooq.com"
"1985-01-29","0.111846","Close Price","USD","AAPL.US","stooq.com"
"1985-01-30","0.111846","Close Price","USD","AAPL.US","stooq.com"
"1985-01-31","0.108567","Close Price","USD","AAPL.US","stooq.com"
"1985-02-01","0.107073","Close Price","USD","AAPL.US","stooq.com"
"1985-02-04","0.109471","Close Price","USD","AAPL.US","stooq.com"
"1985-02-05","0.11007","Close Price","USD","AAPL.US","stooq.com"
"1985-02-06","0.112161","Close Price","USD","AAPL.US","stooq.com"
"1985-02-07","0.111846","Close Price","USD","AAPL.US","stooq.com"
"1985-02-08","0.111846","Close Price","USD","AAPL.US","stooq.com"
"1985-02-11","0.113986","Close Price","USD","AAPL.US","stooq.com"
"1985-02-12","0.111267","Close Price","USD","AAPL.US","stooq.com"
"1985-02-13","0.106168","Close Price","USD","AAPL.US","stooq.com"
"1985-02-14","0.103173","Close Price","USD","AAPL.US","stooq.com"
"1985-02-15","0.104656","Close Price","USD","AAPL.US","stooq.com"
"1985-02-19","0.103173","Close Price","USD","AAPL.US","stooq.com"
"1985-02-20","0.098676","Close Price","USD","AAPL.US","stooq.com"
"1985-02-21","0.100484","Close Price","USD","AAPL.US","stooq.com"
"1985-02-22","0.103173","Close Price","USD","AAPL.US","stooq.com"
"1985-02-25","0.101955","Close Price","USD","AAPL.US","stooq.com"
"1985-02-26","0.0998857","Close Price","USD","AAPL.US","stooq.com"
"1985-02-27","0.0938731","Close Price","USD","AAPL.US","stooq.com"
"1985-02-28","0.0923707","Close Price","USD","AAPL.US","stooq.com"
"1985-03-01","0.0929793","Close Price","USD","AAPL.US","stooq.com"
"1985-03-04","0.0944821","Close Price","USD","AAPL.US","stooq.com"
"1985-03-05","0.0968786","Close Price","USD","AAPL.US","stooq.com"
"1985-03-06","0.0920757","Close Price","USD","AAPL.US","stooq.com"
"1985-03-07","0.082775","Close Price","USD","AAPL.US","stooq.com"
"1985-03-08","0.0803885","Close Price","USD","AAPL.US","stooq.com"
"1985-03-11","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1985-03-12","0.0860848","Close Price","USD","AAPL.US","stooq.com"
"1985-03-13","0.0812821","Close Price","USD","AAPL.US","stooq.com"
"1985-03-14","0.0812821","Close Price","USD","AAPL.US","stooq.com"
"1985-03-15","0.0845623","Close Price","USD","AAPL.US","stooq.com"
"1985-03-18","0.0854757","Close Price","USD","AAPL.US","stooq.com"
"1985-03-19","0.0821661","Close Price","USD","AAPL.US","stooq.com"
"1985-03-20","0.0830794","Close Price","USD","AAPL.US","stooq.com"
"1985-03-21","0.0845623","Close Price","USD","AAPL.US","stooq.com"
